Record ID#,Spacecraft Name,Launch Code (Using Record ID)
1, G-class satellite buses (or G-Sat) ,
2,ìGWî national network projection 2022,
3,ìGWî national network projection 2023,
4,ìGWî national network projection 2024,
5,ìGWî national network projection 2025,
6,ìGWî national network projection 2026,
7,ìGWî national network projection 2027,
8,ìGWî national network projection 2028,
9,ìGWî national network projection 2029,
10,ìGWî national network projection 2030,
11,ìGWî national network projection 2031,
12,ìGWî national network projection 2032,
13,µHETsat,
14,1HOPSat 10,
15,1HOPSat 11,
16,1HOPSat 12,
17,1HOPSat 13,
18,1HOPSat 14,
19,1HOPSat 15,
20,1HOPSat 16,
21,1HOPSat 17,
22,1HOPSat 18,
23,1HOPSat 19,
24,1HOPSat 20,
25,1HOPSat 21,
26,1HOPSat 22,
27,1HOPSat 23,
28,1HOPSat 24,
29,1HOPSat 25,
30,1HOPSat 26,
31,1HOPSat 27,
32,1HOPSat 28,
33,1HOPSat 29,
34,1HOPSat 30,
35,1HOPSat 31,
36,1HOPSat 32,
37,1HOPSat 33,
38,1HOPSat 34,
39,1HOPSat 35,
40,1HOPSat 36,
41,1HOPSat 37,
42,1HOPSat 38,
43,1HOPSat 39,
44,1HOPSat 40,
45,1HOPSat 41,
46,1HOPSat 42,
47,1HOPSat 43,
48,1HOPSat 44,
49,1HOPSat 45,
50,1HOPSat 46,
51,1HOPSat 47,
52,1HOPSat 48,
53,1HOPSat 49,
54,1HOPSat 50,
55,1HOPSat 51,
56,1HOPSat 52,
57,1HOPSat 53,
58,1HOPSat 54,
59,1HOPSat 55,
60,1HOPSat 56,
61,1HOPSat 57,
62,1HOPSat 58,
63,1HOPSat 59,
64,1HOPSat 60,
65,1HOPSat 9,
66,3 Diamonds 1,
67,3 Diamonds 10,
68,3 Diamonds 100,
69,3 Diamonds 101,
70,3 Diamonds 102,
71,3 Diamonds 103,
72,3 Diamonds 104,
73,3 Diamonds 105,
74,3 Diamonds 106,
75,3 Diamonds 107,
76,3 Diamonds 108,
77,3 Diamonds 109,
78,3 Diamonds 11,
79,3 Diamonds 110,
80,3 Diamonds 111,
81,3 Diamonds 112,
82,3 Diamonds 113,
83,3 Diamonds 114,
84,3 Diamonds 115,
85,3 Diamonds 116,
86,3 Diamonds 117,
87,3 Diamonds 118,
88,3 Diamonds 119,
89,3 Diamonds 12,
90,3 Diamonds 120,
91,3 Diamonds 121,
92,3 Diamonds 122,
93,3 Diamonds 123,
94,3 Diamonds 124,
95,3 Diamonds 125,
96,3 Diamonds 126,
97,3 Diamonds 127,
98,3 Diamonds 128,
99,3 Diamonds 129,
100,3 Diamonds 13,
101,3 Diamonds 130,
102,3 Diamonds 131,
103,3 Diamonds 132,
104,3 Diamonds 133,
105,3 Diamonds 134,
106,3 Diamonds 135,
107,3 Diamonds 136,
108,3 Diamonds 137,
109,3 Diamonds 138,
110,3 Diamonds 139,
111,3 Diamonds 14,
112,3 Diamonds 140,
113,3 Diamonds 141,
114,3 Diamonds 142,
115,3 Diamonds 143,
116,3 Diamonds 144,
117,3 Diamonds 145,
118,3 Diamonds 146,
119,3 Diamonds 147,
120,3 Diamonds 148,
121,3 Diamonds 149,
122,3 Diamonds 15,
123,3 Diamonds 150,
124,3 Diamonds 151,
125,3 Diamonds 152,
126,3 Diamonds 153,
127,3 Diamonds 154,
128,3 Diamonds 155,
129,3 Diamonds 16,
130,3 Diamonds 17,
131,3 Diamonds 18,
132,3 Diamonds 19,
133,3 Diamonds 2,
134,3 Diamonds 20,
135,3 Diamonds 2022,
136,3 Diamonds 2023,
137,3 Diamonds 2024,
138,3 Diamonds 2025,
139,3 Diamonds 2026,
140,3 Diamonds 2027,
141,3 Diamonds 2028,
142,3 Diamonds 2029,
143,3 Diamonds 2030,
144,3 Diamonds 2031,
145,3 Diamonds 2032,
146,3 Diamonds 21,
147,3 Diamonds 22,
148,3 Diamonds 23,
149,3 Diamonds 24,
150,3 Diamonds 25,
151,3 Diamonds 26,
152,3 Diamonds 27,
153,3 Diamonds 28,
154,3 Diamonds 29,
155,3 Diamonds 3,
