Date,Launch Vehicle,Site
01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40
01/08/2023,CZ-7A,We LC-201
01/09/2023,Ceres-1 (3) (Gushenxing-1 (3)),Jq LC-43/95A
01/09/2023,LauncherOne,Nq RW12/30
01/10/2023,Falcon-9 v1.2 (Block 5),CC SLC-40
01/10/2023,RS1,Kd LP-3C
01/12/2023,CZ-2C (3) [SPS],Xi LC-3
01/13/2023,CZ-2D (2),Jq LC-43/94
01/15/2023,CZ-2D (2),TY LC-9
01/15/2023,Falcon-Heavy (Block 5)(px),CCK LC-39A
01/18/2023,Falcon-9 v1.2 (Block 5),CC SLC-40
01/19/2023,Falcon-9 v1.2 (Block 5),Va SLC-4E
01/24/2023,Electron KS,WI LA-0C
01/26/2023,H-2A-202,Ta YLP-1
01/26/2023,Falcon-9 v1.2 (Block 5),CC SLC-40
01/31/2023,Falcon-9 v1.2 (Block 5),Va SLC-4E
02/02/2023,Falcon-9 v1.2 (Block 5),CCK LC-39A
02/07/2023,Falcon-9 v1.2 (Block 5),CC SLC-40
02/09/2023,Soyuz-2-1a,Ba LC-31/6
02/10/2023,SSLV,Sr FLP
02/12/2023,Falcon-9 v1.2 (Block 5),CC SLC-40
02/17/2023,Falcon-9 v1.2 (Block 5),Va SLC-4E
02/18/2023,Falcon-9 v1.2 (Block 5),CC SLC-40
02/23/2023,CZ-3B/G2(2),Xi LC-2
02/24/2023,Soyuz-2-1a,Ba LC-31/6
02/24/2023,CZ-2C (3),Jq LC-43/94
02/27/2023,Falcon-9 v1.2 (Block 5),CC SLC-40
03/02/2023,Falcon-9 v1.2 (Block 5),CCK LC-39A
03/03/2023,Falcon-9 v1.2 (Block 5),Va SLC-4E
