Date,Spacecraft Name,URL,Vehicle Name,Launch Site,Remark,Country,Market Segment,Operator,Prime Manufacturer,Equipment,Configuration,Propulsion,Power,Design Life,Mass,Orbit,COSPAR,Date Created
01/03/2023,YAM 5,../doc_sdat/yam-3.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Loft Orbital,Loft Orbital (payload hub); LeoStella (bus),see above,LeoStella bus,None,"Deployable fixed solar arrays, solar cells, batteries",,83 kg,,2023-001BV,03/09/2023 21:17:16
01/03/2023,Lynk Tower 03 (Lynk 08),../doc_sdat/lynk-06.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communications,Lynk Global Inc.,Lynk Global Inc.,,,,"solar cells, batteries",,,,2023-001AP,03/09/2023 21:17:16
01/03/2023,Lynk Tower 04 (Lynk 09),../doc_sdat/lynk-06.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communications,Lynk Global Inc.,Lynk Global Inc.,,,,"solar cells, batteries",,,,2023-001AB,03/09/2023 21:17:16
01/03/2023,Umbra-SAR 04,../doc_sdat/umbra-sar-2001.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, radar",Umbra Lab,Umbra Lab,X-band SAR,,None,"Solar cells, batteries",,65 kg,"522 km × 535 km, 97.51°",2023-001AT,03/09/2023 21:17:16
01/03/2023,Umbra-SAR 05,../doc_sdat/umbra-sar-2001.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, radar",Umbra Lab,Umbra Lab,X-band SAR,,None,"Solar cells, batteries",,65 kg,"522 km × 535 km, 97.51°",2023-001AD,03/09/2023 21:17:16
01/03/2023,EOS-SAT 1 (EOS Agrisat-1),../doc_sdat/eos-sat-1.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,South Africa,Earth observation,Dragonfly Aerospace,Dragonfly Aerospace,2 × Dragoneye imagers,µDragonfly bus,,"Solar cells, batteries",,178 kg,,2023-001AW,03/09/2023 21:17:16
01/03/2023,ICEYE X21,../doc_sdat/iceye-x4.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,"Finland, USA (#10, 17, 24)","Earth observation, Radar",ICEYE,ICEYE,X-band SAR,,?,"2 deployable solar arrays, batteries",,,"574 km × 595 km, 97.7° (#X4, X5)",2023-001AS,03/09/2023 21:17:16
01/03/2023,ICEYE X22,../doc_sdat/iceye-x4.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,"Finland, USA (#10, 17, 24)","Earth observation, Radar",ICEYE,ICEYE,X-band SAR,,?,"2 deployable solar arrays, batteries",,,"574 km × 595 km, 97.7° (#X4, X5)",2023-001,03/09/2023 21:17:16
01/03/2023,ICEYE X27,../doc_sdat/iceye-x4.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,"Finland, USA (#10, 17, 24)","Earth observation, Radar",ICEYE,ICEYE,X-band SAR,,?,"2 deployable solar arrays, batteries",,,"574 km × 595 km, 97.7° (#X4, X5)",2023-001BF,03/09/2023 21:17:16
01/03/2023,"ÑuSat 32 (NewSat 32, Aleph-1 32, Albania 1)",../doc_sdat/nusat-1.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Argentina,Earth observation,Satellogic S.A.,Satellogic S.A.,"Imaging payload (all), LUSEX U/V linear transponder payload (#1)",,None,"Solar cells, batteries",3-4 years,37.5 kg; 41 kg (#9-18),"480 km × 498 km, 97.50° (#1, 2); 535 km × 545 km, 43.02° (#3); 493 km × 503 km, 97.21° (#4, 5); 516 km × 524 km, 97.47° (#6); 476 km × 490 km, 97.34° (#7, 8)",2023-001BH,03/09/2023 21:17:16
01/03/2023,"ÑuSat 33 (NewSat 35, Aleph-1 33, Albania 2)",../doc_sdat/nusat-1.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Argentina,Earth observation,Satellogic S.A.,Satellogic S.A.,"Imaging payload (all), LUSEX U/V linear transponder payload (#1)",,None,"Solar cells, batteries",3-4 years,37.5 kg; 41 kg (#9-18),"480 km × 498 km, 97.50° (#1, 2); 535 km × 545 km, 43.02° (#3); 493 km × 503 km, 97.21° (#4, 5); 516 km × 524 km, 97.47° (#6); 476 km × 490 km, 97.34° (#7, 8)",2023-001AQ,03/09/2023 21:17:16
01/03/2023,"ÑuSat 34 (NewSat 34, Aleph-1 34, Amelia Earhart)",../doc_sdat/nusat-1.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Argentina,Earth observation,Satellogic S.A.,Satellogic S.A.,"Imaging payload (all), LUSEX U/V linear transponder payload (#1)",,None,"Solar cells, batteries",3-4 years,37.5 kg; 41 kg (#9-18),"480 km × 498 km, 97.50° (#1, 2); 535 km × 545 km, 43.02° (#3); 493 km × 503 km, 97.21° (#4, 5); 516 km × 524 km, 97.47° (#6); 476 km × 490 km, 97.34° (#7, 8)",2023-001AN,03/09/2023 21:17:16
01/03/2023,"ÑuSat 35 (NewSat 35, Aleph-1 35, Williamina Fleming)",../doc_sdat/nusat-1.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Argentina,Earth observation,Satellogic S.A.,Satellogic S.A.,"Imaging payload (all), LUSEX U/V linear transponder payload (#1)",,None,"Solar cells, batteries",3-4 years,37.5 kg; 41 kg (#9-18),"480 km × 498 km, 97.50° (#1, 2); 535 km × 545 km, 43.02° (#3); 493 km × 503 km, 97.21° (#4, 5); 516 km × 524 km, 97.47° (#6); 476 km × 490 km, 97.34° (#7, 8)",2023-001AR,03/09/2023 21:17:16
01/03/2023,Skykraft Deployer 1,../doc_sdat/skykraft-deployer-1.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Australia,Satellite deployment,Skykraft,Skykraft,,,?,"Solar array, batteries",,,,2023-001AJ,03/09/2023 21:17:16
01/03/2023,Skykraft 1,../doc_sdat/skykraft_block2.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Australia,Communication,Skykraft,Skykraft,"ADS-B receiver, VHS communications payload",,,"Solar array, batteries",,,,2023-001AX,03/09/2023 21:17:16
01/03/2023,Skykraft 2,../doc_sdat/skykraft_block2.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Australia,Communication,Skykraft,Skykraft,"ADS-B receiver, VHS communications payload",,,"Solar array, batteries",,,,,03/09/2023 21:17:16
01/03/2023,Skykraft 3,../doc_sdat/skykraft_block2.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Australia,Communication,Skykraft,Skykraft,"ADS-B receiver, VHS communications payload",,,"Solar array, batteries",,,,,03/09/2023 21:17:16
01/03/2023,Skykraft 4,../doc_sdat/skykraft_block2.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Australia,Communication,Skykraft,Skykraft,"ADS-B receiver, VHS communications payload",,,"Solar array, batteries",,,,,03/09/2023 21:17:16
01/03/2023,Chimera LEO-1,../doc_sdat/chimera-leo-1.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Satellite deployment,Epic Aerospace,Epic Aerospace,CubeSat deployers,,,Batteries,,,,2023-001,03/09/2023 21:17:16
01/03/2023,ION-SCV 007 (Glorious Gratia),../doc_sdat/ion-scv-2.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Italy,Satellite deployment,D-Orbit,D-Orbit,CubeSat deployers,ION mk02 platform,?,"Solar cells, batteries",,,,2023-001BD,03/09/2023 21:17:16
01/03/2023,ION-SCV 008 (Fierce Franciscus),../doc_sdat/ion-scv-2.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Italy,Satellite deployment,D-Orbit,D-Orbit,CubeSat deployers,ION mk02 platform,?,"Solar cells, batteries",,,,2023-001AU,03/09/2023 21:17:16
01/03/2023,Astrocast 0401,../doc_sdat/astrocast-0101.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Switzerland,Communication M2M/IoT,Astrocast SA (formerly ELSE SA),,,CubeSat (3U),?,"2 deployable solar arrays, batteries",,5 kg,,2023-001,03/09/2023 21:17:16
01/03/2023,Astrocast 0402,../doc_sdat/astrocast-0101.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Switzerland,Communication M2M/IoT,Astrocast SA (formerly ELSE SA),,,CubeSat (3U),?,"2 deployable solar arrays, batteries",,5 kg,,2023-001,03/09/2023 21:17:16
01/03/2023,Astrocast 0403,../doc_sdat/astrocast-0101.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Switzerland,Communication M2M/IoT,Astrocast SA (formerly ELSE SA),,,CubeSat (3U),?,"2 deployable solar arrays, batteries",,5 kg,,2023-001,03/09/2023 21:17:16
01/03/2023,Astrocast 0404,../doc_sdat/astrocast-0101.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Switzerland,Communication M2M/IoT,Astrocast SA (formerly ELSE SA),,,CubeSat (3U),?,"2 deployable solar arrays, batteries",,5 kg,,2023-001,03/09/2023 21:17:16
01/03/2023,Futura SM1,../doc_sdat/futura-sm1.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Italy,Technology,SpaceMind,SpaceMind,,CubeSat (3U),None,"Solar cells, batteries",,,,2023-001DA,03/09/2023 21:17:16
01/03/2023,Futura SM3,../doc_sdat/futura-sm3.htm,Falcon-9 v1.2 (Block 5),CC SLC-40,,Italy,Technology,SpaceMind,SpaceMind,,CubeSat (6U),None,"Solar cells, batteries",,,,2023-001DB,03/09/2023 21:17:16
